DateTime,KTF1_Current,KTF1_Power,KTF1_Temp,KTF1_Voltage,KTF1_VSDSpeed(%),KTF1_VSDSpeedHz,KTF1_Run_Status,KTF1_Fault_Status,KTF2_Current,KTF2_Power,KTF2_Temp,KTF2_Voltage,KTF2_VSDSpeed(%),KTF2_VSDSpeedHz,KTF2_Run_Status,KTF2_Fault_Status,KTF3_Current,KTF3_Power,KTF3_Temp,KTF3_Voltage,KTF3_VSDSpeed(%),KTF3_VSDSpeedHz,KTF3_Run_Status,KTF3_Fault_Status,Korumburra CWS TANK.Value(%),Lance Creek CWS Tank.Value (mm),FIT2025 to Korumburra.Value (l/s) from Lance Creek WTP,FIT3033 Flow at KBR.Value (l/s) at Korumburra
2022-08-01 09:50:00,0,0,14,0,0,0,0,0,322.9400024,204.3799896,54,398.3999939,96.14590454,48.07295227,1,0,0,0,14,0,0,0,0,0,78.22999573,4172.580078,60.52999878,60.96999741
2022-08-01 10:00:00,0,0,14,0,0,0,0,0,322.2200012,205.6900024,54,398.3999939,96.14806366,48.07403183,1,0,0,0,14,0,0,0,0,0,78.22999573,4169.909668,60.52999878,60.96999741
2022-08-01 10:10:00,0,0,14,0,0,0,0,0,322.289978,205.519989,54,398.3999939,96.15039825,48.07519913,1,0,0,0,14,0,0,0,0,0,77.75999451,4168.379883,60.52000046,60.68999863
2022-08-01 10:20:00,0,0,14,0,0,0,0,0,321.6499939,204.6799927,54,398.3999939,96.15240479,48.07620239,1,0,0,0,14,0,0,0,0,0,77.75999451,4169.149902,60.52000046,60.68999863
2022-08-01 10:30:00,0,0,14,0,0,0,0,0,322.5099792,204.1999969,54,398.3999939,96.1559906,48.0779953,1,0,0,0,14,0,0,0,0,0,77.75999451,4122.609863,60.52000046,60.68999863
2022-08-01 10:40:00,0,0,15,0,0,0,0,0,293.3899841,179.7399902,53,385.8000183,93.13947296,46.56973648,1,0,0,0,14,0,0,0,0,0,77.75999451,4126.419922,54.29999924,52.70999908
2022-08-01 10:50:00,0,0,15,0,0,0,0,0,294.25,179.2299957,53,385.8000183,93.13951874,46.56975937,1,0,0,0,15,0,0,0,0,0,77.75999451,4127.949707,54.29999924,52.70999908
2022-08-01 11:00:00,0,0,15,0,0,0,0,0,293.0299988,180.3499908,53,385.8000183,93.132164,46.566082,1,0,0,0,15,0,0,0,0,0,77.75999451,4122.989746,54.29999924,52.70999908
2022-08-01 11:10:00,0,0,15,0,0,0,0,0,293.6000061,180.5099945,53,385.8000183,93.13282776,46.56641388,1,0,0,0,15,0,0,0,0,0,77.22999573,4118.409668,53.68000031,53.61000061
2022-08-01 11:20:00,0,0,15,0,0,0,0,0,293.1699829,180.6699982,53,385.8000183,93.13189697,46.56594849,1,0,0,0,15,0,0,0,0,0,77.22999573,4112.689941,53.68000031,53.61000061
